Timestamp,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,Temperature_C,Trend_COD,Spike_Status,Spike_Parameter
2025-01-01 00:00:00,7.536,42.93,3.8,839.12,27.3,Stable,NORMAL,None
2025-01-01 01:00:00,7.515,62.74,4.93,849.37,27.6,Stable,NORMAL,None
2025-01-01 02:00:00,7.504,55.21,3.64,844.52,27.67,Stable,NORMAL,None
2025-01-01 03:00:00,7.476,59.06,1.91,842.68,28.0,Stable,NORMAL,None
2025-01-01 04:00:00,7.385,75.13,2.56,849.51,28.13,Stable,NORMAL,None
2025-01-01 05:00:00,7.21,62.62,4.03,843.43,27.85,Stable,NORMAL,None
2025-01-01 06:00:00,7.133,85.96,4.6,849.27,29.33,Increasing,NORMAL,None
2025-01-01 07:00:00,7.495,30.0,5.0,842.14,29.04,Decreasing,NORMAL,None
2025-01-01 08:00:00,7.382,106.83,6.37,829.66,29.73,Increasing,NORMAL,None
2025-01-01 09:00:00,7.446,58.41,5.52,846.76,30.33,Stable,NORMAL,None
2025-01-01 10:00:00,7.351,72.94,7.36,845.42,30.78,Stable,NORMAL,None
2025-01-01 11:00:00,7.415,80.79,6.3,848.86,30.89,Increasing,NORMAL,None
2025-01-01 12:00:00,7.243,84.97,4.82,817.65,30.89,Stable,NORMAL,None
2025-01-01 13:00:00,7.301,62.4,4.4,818.94,30.64,Increasing,NORMAL,None
2025-01-01 14:00:00,7.384,57.13,4.16,832.13,30.77,Decreasing,NORMAL,None
2025-01-01 15:00:00,7.428,47.43,3.76,828.3,30.56,Decreasing,NORMAL,None
2025-01-01 16:00:00,7.361,94.37,4.3,823.59,29.46,Increasing,NORMAL,None
2025-01-01 17:00:00,7.42,46.48,3.91,807.06,29.93,Decreasing,NORMAL,None
2025-01-01 18:00:00,7.219,57.64,5.01,793.32,28.9,Decreasing,NORMAL,None
2025-01-01 19:00:00,7.257,30.0,4.31,791.32,28.48,Decreasing,NORMAL,None
2025-01-01 20:00:00,7.459,43.9,2.92,767.05,28.6,Decreasing,NORMAL,None
2025-01-01 21:00:00,7.255,79.33,2.77,783.79,28.66,Increasing,NORMAL,None
2025-01-01 22:00:00,7.406,42.15,2.97,775.57,27.49,Decreasing,NORMAL,None
2025-01-01 23:00:00,7.378,53.44,2.71,771.19,27.49,Increasing,NORMAL,None
2025-01-02 00:00:00,7.458,47.91,3.87,753.12,26.9,Decreasing,NORMAL,None
2025-01-02 01:00:00,7.347,48.83,3.87,786.62,27.47,Increasing,NORMAL,None
2025-01-02 02:00:00,7.374,61.79,4.96,762.42,28.04,Increasing,NORMAL,None
2025-01-02 03:00:00,7.395,30.9,5.8,787.27,27.96,Decreasing,NORMAL,None
2025-01-02 04:00:00,7.299,69.92,6.73,779.86,28.44,Increasing,NORMAL,None
2025-01-02 05:00:00,7.384,114.89,6.37,764.99,28.76,Increasing,NORMAL,None
2025-01-02 06:00:00,7.413,52.94,6.47,771.76,29.14,Increasing,NORMAL,None
2025-01-02 07:00:00,7.434,45.35,5.33,772.79,29.65,Decreasing,NORMAL,None
2025-01-02 08:00:00,7.134,30.0,6.04,750.22,30.46,Decreasing,NORMAL,None
2025-01-02 09:00:00,7.25,30.0,10.06,762.14,30.2,Stable,NORMAL,None
2025-01-02 10:00:00,7.364,66.95,11.29,798.16,30.35,Decreasing,NORMAL,None
2025-01-02 11:00:00,7.288,88.03,8.87,788.83,31.07,Decreasing,NORMAL,None
2025-01-02 12:00:00,7.566,41.02,7.53,784.53,31.25,Decreasing,NORMAL,None
2025-01-02 13:00:00,7.373,42.78,8.1,772.11,30.87,Decreasing,NORMAL,None
2025-01-02 14:00:00,7.394,76.07,9.72,778.17,30.81,Increasing,NORMAL,None
2025-01-02 15:00:00,7.233,118.52,10.52,789.27,30.71,Increasing,NORMAL,None
2025-01-02 16:00:00,7.21,54.96,8.62,797.56,30.51,Decreasing,NORMAL,None
2025-01-02 17:00:00,7.383,41.73,9.55,785.8,29.56,Decreasing,NORMAL,None
2025-01-02 18:00:00,7.314,74.82,7.34,787.7,29.0,Increasing,NORMAL,None
2025-01-02 19:00:00,7.445,56.19,8.45,799.53,29.14,Increasing,NORMAL,None
2025-01-02 20:00:00,7.404,90.54,7.32,787.14,28.67,Increasing,NORMAL,None
2025-01-02 21:00:00,7.287,87.47,7.71,793.1,27.77,Decreasing,NORMAL,None
2025-01-02 22:00:00,7.469,57.22,7.62,794.13,27.39,Increasing,NORMAL,None
2025-01-02 23:00:00,7.253,96.44,6.14,812.16,27.67,Increasing,NORMAL,None
2025-01-03 00:00:00,7.331,108.2,6.03,833.21,27.71,Increasing,NORMAL,None
2025-01-03 01:00:00,7.429,73.67,6.56,844.68,27.33,Increasing,NORMAL,None
2025-01-03 02:00:00,7.486,30.0,5.23,850.91,27.72,Decreasing,NORMAL,None
2025-01-03 03:00:00,7.354,30.0,5.21,818.83,27.8,Decreasing,NORMAL,None
2025-01-03 04:00:00,7.329,67.22,4.63,795.46,28.04,Increasing,NORMAL,None
2025-01-03 05:00:00,7.275,94.11,3.46,830.07,28.91,Stable,NORMAL,None
2025-01-03 06:00:00,7.381,47.05,4.38,831.09,29.21,Decreasing,NORMAL,None
2025-01-03 07:00:00,7.555,43.62,3.58,825.06,29.45,Decreasing,NORMAL,None
2025-01-03 08:00:00,7.193,69.41,1.85,809.41,29.45,Increasing,NORMAL,None
2025-01-03 09:00:00,7.421,75.78,2.48,801.47,30.5,Increasing,NORMAL,None
2025-01-03 10:00:00,7.387,61.3,2.05,789.78,30.7,Decreasing,NORMAL,None
2025-01-03 11:00:00,7.306,59.0,2.15,792.36,30.65,Decreasing,NORMAL,None
2025-01-03 12:00:00,7.17,43.33,1.66,793.3,30.47,Decreasing,NORMAL,None
2025-01-03 13:00:00,7.41,30.0,2.93,760.95,30.89,Decreasing,NORMAL,None
2025-01-03 14:00:00,7.453,41.57,3.03,734.4,30.52,Decreasing,NORMAL,None
2025-01-03 15:00:00,7.387,76.11,3.68,751.26,30.35,Stable,NORMAL,None
2025-01-03 16:00:00,7.281,114.62,7.56,752.73,30.12,Increasing,NORMAL,None
2025-01-03 17:00:00,7.372,30.0,5.95,738.48,29.41,Decreasing,NORMAL,None
2025-01-03 18:00:00,7.315,30.0,5.63,737.08,29.02,Decreasing,NORMAL,None
2025-01-03 19:00:00,7.432,81.65,5.86,756.53,28.6,Increasing,NORMAL,None
2025-01-03 20:00:00,7.409,63.84,6.06,729.88,27.89,Increasing,NORMAL,None
2025-01-03 21:00:00,7.278,41.54,7.03,725.84,27.19,Decreasing,NORMAL,None
2025-01-03 22:00:00,7.328,115.29,7.45,743.86,27.52,Stable,NORMAL,None
2025-01-03 23:00:00,7.242,53.32,10.31,760.4,27.36,Increasing,NORMAL,None
2025-01-04 00:00:00,7.294,82.24,8.69,785.22,27.38,Increasing,NORMAL,None
2025-01-04 01:00:00,7.329,82.49,7.54,760.28,28.07,Stable,NORMAL,None
2025-01-04 02:00:00,7.438,94.61,6.12,749.39,27.14,Increasing,NORMAL,None
2025-01-04 03:00:00,7.27,43.81,5.84,752.22,27.71,Increasing,NORMAL,None
